,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00
Armenia,1,0,0,1,123,1,0,0,1,267,1,0,0,1,420,1,0,0,1,578,4,0,0,4,750,8,0,0,8,897,18,0,0,18,1071,26,0,0,26,1294,52,0,0,52,1599,78,0,1,77,1884,84,0,1,83,2175,115,0,1,114,2415,136,0,1,135,2671,160,0,1,159,2929,194,0,2,192,3092,235,0,2,233,3309,249,0,14,235,3520,265,0,16,249,3727,290,1,18,271,3945,329,1,28,300,4168,407,1,30,376,4379,424,3,30,391,4567,482,3,30,449,4792,532,3,30,499,4973,571,4,31,536,5175,663,7,33,623,5408,736,7,43,686,5627,770,7,43,720,5827,822,7,57,758,6067,833,8,62,763,6303,853,8,87,758,6524,881,9,114,758,6742,921,10,138,773,6984,937,12,149,776,7185,967,13,173,781,7421
American Samoa,0,0,0,0,13,0,0,0,0,22,0,0,0,0,29,0,0,0,0,34,0,0,0,0,51,0,0,0,0,60,0,0,0,0,70,0,0,0,0,78,0,0,0,0,91,0,0,0,0,106,0,0,0,0,123,0,0,0,0,133,0,0,0,0,147,0,0,0,0,152,0,0,0,0,159,0,0,0,0,170,0,0,0,0,182,0,0,0,0,198,0,0,0,0,206,0,0,0,0,219,0,0,0,0,229,0,0,0,0,241,0,0,0,0,257,0,0,0,0,264,0,0,0,0,282,0,0,0,0,294,0,0,0,0,299,0,0,0,0,303,0,0,0,0,312,0,0,0,0,331,0,0,0,0,339,0,0,0,0,348,0,0,0,0,362,0,0,0,0,385,0,0,0,0,397
Antarctica,0,0,0,0,392,0,0,0,0,782,0,0,0,0,1122,0,0,0,0,1435,0,0,0,0,1800,0,0,0,0,2133,0,0,0,0,2473,0,0,0,0,2754,0,0,0,0,3028,0,0,0,0,3344,0,0,0,0,3642,0,0,0,0,3945,0,0,0,0,4237,0,0,0,0,4531,0,0,0,0,4826,0,0,0,0,5152,0,0,0,0,5470,0,0,0,0,5782,0,0,0,0,6046,0,0,0,0,6381,0,0,0,0,6680,0,0,0,0,7001,0,0,0,0,7313,0,0,0,0,7588,0,0,0,0,7925,0,0,0,0,8206,0,0,0,0,8486,0,0,0,0,8771,0,0,0,0,9032,0,0,0,0,9321,0,0,0,0,9616,0,0,0,0,9885,0,0,0,0,10182,0,0,0,0,10494,0,0,0,0,10783
French Southern Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,31,0,0,0,0,71,0,0,0,0,133,0,0,0,0,205,0,0,0,0,313,1,0,0,1,400,1,0,0,1,461,1,0,0,1,502,1,0,0,1,550,1,0,0,1,622,1,0,0,1,667,1,0,0,1,719,1,0,0,1,763,1,0,0,1,815,1,0,0,1,854,3,0,0,3,904,3,0,0,3,948,3,0,0,3,985,7,0,0,7,1013,7,0,0,7,1062,7,0,0,7,1110,7,0,0,7,1148,7,0,0,7,1195,7,0,0,7,1248,7,0,0,7,1279,9,0,0,9,1327,15,0,0,15,1367,15,0,0,15,1402,15,0,0,15,1438,15,0,0,15,1487,19,1,0,18,1535,19,2,0,17,1579,19,2,0,17,1628,19,2,0,17,1680,21,2,0,19,1720
Australia,76,4,21,51,21177,91,4,21,66,41342,107,3,21,83,59107,128,3,21,104,75718,128,3,21,104,90837,200,3,23,174,107078,250,3,23,224,122164,297,3,23,271,139946,377,3,23,351,157501,452,5,23,424,174116,568,6,23,539,189339,681,6,26,649,204434,791,7,26,758,219806,1071,7,26,1038,237120,1314,7,88,1219,255475,1682,7,119,1556,273529,2044,8,119,1917,291817,2364,8,119,2237,310465,2810,13,172,2625,328687,3143,13,194,2936,348046,3640,14,244,3382,367351,3984,16,244,3724,385469,4361,17,257,4087,404076,4559,18,358,4183,421591,4862,20,422,4420,439304,5116,24,520,4572,456627,5330,28,649,4653,474479,5550,30,701,4819,491808,5687,35,757,4895,510572,5797,40,1080,4677,528726,5895,45,1080,4770,544817,6010,50,1080,4880,562932,6108,51,1472,4585,579841,6215,54,1793,4368,598518,6303,57,1806,4440,615728
Austria,104,0,0,104,2330,131,0,2,129,4400,182,0,4,178,7162,246,0,4,242,9889,302,1,4,297,12016,504,1,6,497,13791,655,1,6,648,16110,860,1,6,853,18873,1018,3,6,1009,21081,1332,3,1,1328,23312,1646,4,9,1633,25372,2013,6,9,1998,27368,2388,6,9,2373,29417,2814,8,9,2797,31340,3244,16,9,3219,33489,4474,21,9,4444,35426,5283,28,9,5246,37196,5588,30,9,5549,38920,6909,49,112,6748,40672,7657,58,225,7374,42549,8271,68,225,7978,44416,8788,86,479,8223,46276,9618,108,636,8874,48481,10180,128,1095,8957,50363,10711,146,1436,9129,52264,11129,158,1749,9222,54220,11524,168,2022,9334,56094,11781,186,2507,9088,57832,12051,204,2998,8849,59508,12297,220,3463,8614,61438,12639,243,4046,8350,63402,12942,273,4512,8157,65286,13244,295,5240,7709,67202,13555,319,6064,7172,68994,13806,337,6604,6865,70641
Azerbaijan,9,0,0,9,103,9,0,0,9,220,11,0,0,11,339,11,0,3,8,481,11,0,3,8,600,15,1,3,11,719,15,1,3,11,832,23,1,6,16,934,15,1,6,8,1082,28,1,6,21,1230,28,1,6,21,1347,44,1,6,37,1462,44,1,6,37,1553,53,1,11,41,1639,65,1,10,54,1774,72,1,10,61,1905,87,1,10,76,2030,93,2,10,81,2155,122,3,15,104,2292,165,3,15,147,2460,182,4,15,163,2596,209,4,15,190,2753,273,4,26,243,2873,298,5,26,267,2996,359,5,26,328,3116,400,5,26,369,3254,443,5,32,406,3389,521,5,32,484,3529,584,7,32,545,3694,641,7,44,590,3816,717,8,44,665,3988,822,8,63,751,4137,926,9,101,816,4301,991,10,159,822,4485,1058,11,200,847,4678
Burundi,0,0,0,0,44,0,0,0,0,79,0,0,0,0,130,0,0,0,0,157,0,0,0,0,209,0,0,0,0,236,0,0,0,0,294,0,0,0,0,354,0,0,0,0,441,0,0,0,0,527,0,0,0,0,603,0,0,0,0,683,0,0,0,0,735,0,0,0,0,827,0,0,0,0,903,0,0,0,0,1002,0,0,0,0,1137,0,0,0,0,1254,0,0,0,0,1382,0,0,0,0,1531,0,0,0,0,1725,0,0,0,0,1840,0,0,0,0,1967,2,0,0,2,2210,2,0,0,2,2370,3,0,0,3,2518,3,0,0,3,2676,3,0,0,3,2782,3,0,0,3,2889,3,0,0,3,2984,3,0,0,3,3090,3,0,0,3,3231,3,0,0,3,3333,3,0,0,3,3451,5,0,0,5,3551
Belgium,200,0,1,199,6144,239,0,1,238,12204,267,0,1,266,18624,314,3,1,310,26015,314,3,1,310,33393,559,3,1,555,39279,689,4,1,684,45765,886,4,1,881,53342,1058,5,1,1052,60667,1243,10,1,1232,67736,1486,14,31,1441,74098,1795,21,31,1743,80871,2257,37,1,2219,87216,2815,67,263,2485,92756,3401,75,263,3063,98219,3743,88,401,3254,103531,4269,122,461,3686,109200,4937,178,547,4212,114987,6235,220,675,5340,120767,7284,289,858,6137,126812,9134,353,1063,7718,132531,10836,431,1359,9046,138372,11899,513,1527,9859,144591,12775,705,1696,10374,151122,13964,828,2132,11004,156860,15348,1011,2495,11842,163379,16770,1143,2872,12755,170318,18431,1283,3247,13901,176014,19691,1447,3751,14493,181112,20814,1632,3986,15196,187392,22194,2035,4157,16002,193830,23403,2240,4681,16482,200286,24983,2523,5164,17296,206619,26667,3019,5568,18080,212363,28018,3346,5986,18686,218444
Benin,0,0,0,0,258,0,0,0,0,485,0,0,0,0,736,0,0,0,0,1017,0,0,0,0,1350,0,0,0,0,1734,0,0,0,0,1973,0,0,0,0,2257,1,0,0,1,2610,1,0,0,1,3085,2,0,0,2,3624,2,0,0,2,4272,2,0,0,2,4766,2,0,0,2,5286,2,0,0,2,5871,5,0,0,5,6636,6,0,0,6,7445,6,0,0,6,8230,6,0,0,6,8941,6,0,0,6,9716,6,0,0,6,10398,6,0,0,6,11119,6,0,0,6,11834,9,0,1,8,12398,13,0,1,12,12928,13,0,1,12,13535,16,0,2,14,14145,16,0,2,14,14923,22,0,5,17,15730,26,1,5,20,16414,26,1,5,20,17115,26,1,5,20,17857,26,1,5,20,18517,35,1,5,29,19166,35,1,5,29,19757
"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0,0,0,0,7,0,0,0,0,7,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,10,0,0,0,0,11,0,0,0,0,11,0,0,0,0,12,0,0,0,0,12,0,0,0,0,13,0,0,0,0,13,0,0,0,0,13,0,0,0,0,13,0,0,0,0,13,0,0,0,0,14,0,0,0,0,14,0,0,0,0,14,0,0,0,0,14,0,0,0,0,14,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15
Burkina Faso,0,0,0,0,82,0,0,0,0,176,1,0,0,1,277,2,0,0,2,362,2,0,0,2,464,2,0,0,2,558,2,0,0,2,676,3,0,0,3,779,15,0,0,15,899,15,0,0,15,1039,20,1,0,19,1165,33,1,0,32,1324,40,1,0,39,1519,64,2,5,57,1645,75,4,5,66,1759,99,4,5,90,1897,114,4,7,103,2033,146,4,10,132,2180,152,7,10,135,2321,180,9,12,159,2461,207,11,21,175,2597,222,12,23,187,2710,246,12,31,203,2828,261,14,32,215,2977,282,16,46,220,3087,288,16,50,222,3216,302,16,50,236,3339,318,16,66,236,3470,345,17,90,238,3570,364,18,108,238,3689,384,19,127,238,3807,414,23,134,257,3937,443,24,146,273,4077,443,24,146,273,4193,484,27,155,302,4332
